Code tiers bénéficiaire;Nom bénéficiaire;Montant versé;Type subvention
6962;CMAV;33000.0;Fonctionnement
5985;CHAMBRE COMMERCE INDUSTRIE DE TOULOUSE;47821.0;Fonctionnement
2854;BANQUE ALIMENTAIRE TOULOUSE ET SA REGION ASSOC;34500.0;Fonctionnement
13531;CLUB DE LOISIRS BONNE HUMEUR 3EME AGE;530.0;Fonctionnement
13300;COMITE DEFENSE QUARTIERS HERS;500.0;Fonctionnement
2951;LA BARQUE ASSOC;2350.0;Fonctionnement
55863;COMPAGNIE D ELLES ASSOC;1500.0;Fonctionnement
10246;ESPOIR GITE ECLUSE;10000.0;Fonctionnement
7399;COQUELICOT TOULOUSE GYM;40000.0;Fonctionnement
499;FESTIVAL INTERN CINEMA ET HISTOIRE ASSOC;70000.0;Fonctionnement
21628;REGARTS ASSOC;37000.0;Fonctionnement
8772;DESBALS SERVICES REGIE DE QUARTIER;17500.0;Fonctionnement
8921;DIAPASON;23000.0;Fonctionnement
45667;LA COMPAGNIE ASSOC;19180.0;Fonctionnement
25537;STADE TOULOUSAIN RUGBY HANDISPORT ASSOC;8500.0;Fonctionnement
26374;V IDEAUX ASSOC;3000.0;Fonctionnement
19893;PATRIMOINE LANGUEDOCIENNE HLM SA;44404.0;Fonctionnement
47007;A COTE ASSOC;10000.0;Fonctionnement
19260;ON OFF MANIFESTO ASSOC;25000.0;Fonctionnement
47296;EUROPEENNE DU FILM D ANIMATION CARTOON ASSOC;38416.0;Fonctionnement
4198;LOISIRS BONHOURE ASSOC;144709.01;Fonctionnement
13740;FRANCO IMAZIGHEN KABYLIE AFRIKA 31;7000.0;Fonctionnement
41648;CONFEDERATION SYNDICALE DES FAMILLES;57000.0;Fonctionnement
18129;MOND ECHANGE ASSOC;4000.0;Fonctionnement
18559;LES ATELIERS MUSICAUX ASSOC;56130.0;Fonctionnement
219;ACIHI CULTURE INSERT  HABITATS INDY ASSOC;1700.0;Fonctionnement
8449;LES PETITS DEGOURDIS ASSOC;256882.0;Fonctionnement
4673;BOXING TOULOUSE BAGATELLE ASSOC;25000.0;Fonctionnement
10662;PARTAGE FAOURETTE ASSOC;124100.0;Fonctionnement
14071;IZART SPORT ET CULTURE ASSOC;1200.0;Fonctionnement
18006;MJC PONT DES DEMOISELLES ASSOC;85400.0;Fonctionnement
31435;RM FIPH;16000.0;Fonctionnement
10362;ETOILE SPORTIVE ST SIMON;33000.0;Fonctionnement
10188;TUC SECTION ESCRIME TOULOUSE UNIVERSITE CLUB ASSOC;9000.0;Fonctionnement
21439;ACCUEIL LOISIRS RANDO ASSOC;500.0;Fonctionnement
43060;UNION NATIONALE DES COMBATTANTS GROUPE DEPARTEMENTAL ASSOC;745.0;Fonctionnement
1428;MEMBRES ORDRE NATIONAL MERITE ASSOC;200.0;Fonctionnement
12526;CLUB GO SEIGEN ASSOC;600.0;Fonctionnement
3347;COLLEGE BELLEFONTAINE;9534.0;Fonctionnement
25639;LE TRAIT BLEU ASSOC;6000.0;Fonctionnement
7368;CONTRE COURANT;5000.0;Fonctionnement
330;ADDICT ASSOC;4000.0;Fonctionnement
48271;OULUPO ASSOC;7000.0;Fonctionnement
13580;HYPOTHESE THEATRE ASSOC;2000.0;Fonctionnement
2517;AVENIR DISPHASIE MIDI PYRENEES ASSOC;500.0;Fonctionnement
13832;DEPARTEMENTALE INFIRMES MOTEURS;1500.0;Fonctionnement
