Section liquidation;Code tiers bénéficiaire;Nom bénéficiaire;Montant versé 2015
Fonctionnement;1026;CLUB ALPIN FRANCAISE DE TOULOUSE;1870.0
Fonctionnement;28897;TOULOUSE ATHLETIC CLUB FOOTBALL ASSOC;22620.0
Fonctionnement;20441;PINKPONG ASSOC;9000.0
Fonctionnement;41648;CONFEDERATION SYNDICALE DES FAMILLES;51700.0
Fonctionnement;659;AIDES ASSOC;7200.0
Fonctionnement;34965;LE RELAIS ASSOC;4400.0
Fonctionnement;3233;BEBES DAUPHINS TOULOUSAINS ASSOC;1740.0
Fonctionnement;63668;A2P ASSOCIATION POUR L ACCOMPAGNEMENT DE PROJETS ASSOC;19000.0
Fonctionnement;14057;INSTITUT DE TECHNOLOGIE DES TRANSPORTS ET COMMUNICATIONS ASSOC;8200.0
Fonctionnement;5390;CANTO LAOUZETTO ASSOC;500.0
Fonctionnement;11;AACT SECTION MUSIQUE ASSOC;1000.0
Fonctionnement;23024;CLUB SAUVETAGE ET SECOURISME TOULOUSAIN;800.0
Fonctionnement;46504;SPORTS QUILLES DE HUIT DE L AMICALE AVEYRONNAISE DE TOULOUSE ASSOC;850.0
Fonctionnement;48355;APES ASS PARENTS D ENFANTS SOURDS MIDI-PYRENEES ASSOC;1000.0
Fonctionnement;16089;MONSIEUR LINEA ASSOC;3000.0
Fonctionnement;6753;CIPE CENTRE INFORMATION PETITE ENFANCE ASSOC;35000.0
Fonctionnement;45465;INSTITUT FORMATION SLOW FOOD;4000.0
Fonctionnement;44226;TERRES EN MELEES ASSOC;5000.0
Fonctionnement;22086;CRECHE RIRE ET CHANSON ASSOC;96974.0
Fonctionnement;2944;ENSEMBLE BAROQUE DE TOULOUSE;73600.0
Fonctionnement;2103;ASCM SPORTIVE ET CULTURELLE DE MONTAUDRAN ASSOC;53530.0
Fonctionnement;6739;CINEMATHEQUE DE TOULOUSE ASSOC;522000.0
Fonctionnement;24773;TACTIKOLLECTIF ASSOC;75100.0
Fonctionnement;19569;CLAE MARCEL PAGNOL ASSOC;128744.0
Fonctionnement;961;ALLIANCE ASSOC;4400.0
Fonctionnement;49533;JULES ET JULIES ASSOC;3000.0
Fonctionnement;15128;GPT LIGUE FRANCAS LEO LAGRANGE 31;153409.0
Fonctionnement;3728;BEST TOULOUSE ASSOC;800.0
Fonctionnement;21416;LOU RAMELET MOUNDI;1200.0
Fonctionnement;10170;ESCAMBIAR;45500.0
Fonctionnement;13706;ILE ENCHANTEE ASSOC;10079.0
Fonctionnement;1677;ASS REG CONSEILLER ENTREPRISES COLLECTIV ASSOC;9000.0
Investissement;17929;AGENCE DES MINIMES;1585.84
Fonctionnement;56085;LE GEORGES BISTAKI ASSOC;9000.0
Fonctionnement;353;DEV PROM ECONOMIE SOLIDAIRE ASSOC;15000.0
Fonctionnement;4482;CLUB BOULISTE TOULOUSAIN ASSOC;13050.0
Fonctionnement;17534;TOUS LES MEMES ASSOC;11900.0
Fonctionnement;19219;JUDO OLYMPIA GYM ASSOC;2600.0
Fonctionnement;7798;JUDO TOULOUSE CROIX DAURADE ASSOC;3000.0
Fonctionnement;26578;GROUPE VOCAL RENAISSANCE ASSOC;450.0
Fonctionnement;16770;MANDALA BOUGE ASSOC;5000.0
Fonctionnement;75258;FESTIVAL DES CINEMAS INDIENS DE TOULOUSE ASSO;1000.0
Fonctionnement;23260;SECOURS POPULAIRE FRANCAIS ASSOC;20000.0
Investissement;20920;UNIVERSITE FEDERALE TOULOUSE MIDI-PYRENEES;418772.02
Fonctionnement;2193;SPORTIVE TOULOUSE LARDENNE ASSOC;26100.0
