Section liquidation;Code tiers bénéficiaire;Nom bénéficiaire;Montant versé 2015
Investissement;25514;LES TOULOUSAINS DE TOULOUSE ET AMIS DU VIEUX TOULOUSE ASSOC;5000.0
Fonctionnement;2227;ATD QUART MONDE ASSOC;1000.0
Fonctionnement;47123;COMPAGNIE MOLISETTI ASSOC;2448.0
Fonctionnement;6221;UNION DEP SYND CFTC DE HAUTE GARONNE;300.0
Fonctionnement;10520;LES EXPLORATEURS ASSOC;125512.0
Fonctionnement;26597;VOIR ET COMPRENDRE ASSOC;265893.0
Fonctionnement;20872;EDUCATION NOUVELLE LA PRAIRIE MERCREDIS NON CONFORMES;142714.0
Fonctionnement;73115;SCULPTURES CLAUDE NOUGARO;4600.0
Fonctionnement;23050;PROTECTION ENFANCE ET ADOLESCENCE ASSOC;8800.0
Fonctionnement;21571;REBONDS ASSOC;30000.0
Fonctionnement;46212;FOYER ANCIENS SOUPETARD JUNCASSE SERVEYROLLES;800.0
Fonctionnement;45747;FOYER 3IEME AGE BONNEFOY LAPUJADE;800.0
Fonctionnement;46199;CLUB 3IEME AGE COLONNE MARENGO;1500.0
Fonctionnement;19851;AIDE A L EMPLOI LA PASSERELLE ASSOC;15000.0
Fonctionnement;63317;LES ARTS EN BALADE A TOULOUSE ASSOC;2500.0
Fonctionnement;4145;BOIS ET CIE ASSOC;57000.0
Fonctionnement;8902;MAISON DU DIABETE ET DE LA SANTE ASSOC;1000.0
Fonctionnement;62326;TOULOUSE METROPOLE FUTSAL ASSOC;700.0
Fonctionnement;14569;KARAVAN;18200.0
Fonctionnement;46979;HOMODONNEUR ASSOC;1500.0
Fonctionnement;17673;CIE MESSIEURS MESDAMES;10000.0
Investissement;26346;AGENCE VIA IMMOBILIER;3622.77
Fonctionnement;1479;ANTIPHONA ASSOC;4500.0
Fonctionnement;20554;ENSEMBLE A PLECTRE DE TOULOUSE ASSOC;1000.0
Fonctionnement;74568;DOCKS FILM;1000.0
Fonctionnement;56767;CREO 31;4500.0
Fonctionnement;3954;BIZ ART POPULAIRE ASSOC;22500.0
Fonctionnement;19710;SANS PARADIS FIXE ASSOC;1800.0
Fonctionnement;62998;AGENCE UNIVERSITAIRE DE LA FRANCOPHONIE ASSOC;5000.0
Fonctionnement;70055;JEUNE CHAMBRE ECONOMIQUE DE TOULOUSE ASSOC;1500.0
Fonctionnement;25644;LA TRAME ASSOC;11850.0
Fonctionnement;47538;LA COMPAGNIE DU RA DIT BLEU ASSOC;5000.0
Investissement;2795;BBB CENTRE D ART ASSOC;1000.0
Fonctionnement;45682;JEUNES HANDICAPAES ASSOC;9000.0
Fonctionnement;8091;ADT PAROISSE NOTRE DAME DALBADE ASSOC;623.15
Fonctionnement;62580;SPUTNIK ASSOC;2200.0
Fonctionnement;68601;DISCO SOUPE ASSOC;380.0
Fonctionnement;1712;ECOLE ARCHITECTURE DE TOULOUSE;3500.0
Fonctionnement;25398;TOAC TUC VOLLEY BALL ASSOC;678600.0
Fonctionnement;24718;TOULOUSE NAT SYNCHRO ASSOC;17400.0
Fonctionnement;8284;DAUPHINS DU TOEC ASSOC;228000.0
Fonctionnement;16936;CRECHE PARENTALE MARIE L EAU;72047.04
Fonctionnement;11010;THEATRE LE FIL A PLOMB ASSOC;46000.0
Fonctionnement;25363;TITIEN GOYA FOOTBALL ASSOC;13000.0
Fonctionnement;6122;CENTRE TECHNIQUE REGIONAL CONSOMMATION ASSOC;4500.0
Fonctionnement;21780;INTER RELAIS  ASSOC;15000.0
Fonctionnement;21618;ASSOCIATION REFLET;28750.0
Investissement;25191;THEATRE GARONNE ASSOC;46002.0
Fonctionnement;947;ALLEE  CLAE PATTE D OIE LAIQUE LOISIRS EDUC ENFANTS ASSOC;259009.5
Fonctionnement;4981;AMICALE LAIQUE BUFFON ASSOC;266471.0
Fonctionnement;9963;EMPALOT SERVICES PLUS REGIE DE QUARTIER;105400.0
Fonctionnement;13108;SPORTIVE DES HANDI TOULOUSAINS;1305.0
Fonctionnement;45748;CLUB DES AINES DE CROIX DAURADE;950.0
Fonctionnement;14270;JEUNESSE ACTION LOISIRS ASSOC;92474.0
Fonctionnement;14713;KIRIKOU EVENEMENT;6500.0
Fonctionnement;3355;ROSERAIE ASSOC;900.0
Investissement;72556;ACANTYS IMMOBILIER;2149.42
Fonctionnement;21908;RESTER VIVRE AUX ARENES ROMAINES ASSOC;1300.0
Fonctionnement;16651;MAIN TENDUE 31 ASSOC;4000.0
Fonctionnement;21050;APIHMS PROMO  DES INTELLECTUELS HANDICAPES MOTEURS OU SENSORIELS ASSOC;700.0
Fonctionnement;24180;SOS AMITIE MIDI PYRENEES ASSOC;3600.0
Fonctionnement;5686;LA CASE DE SANTE ASSOC;25000.0
Fonctionnement;16057;LIGUE SPORT ADAPTE FFSA MIDI PYRENEES ASSOC;600.0
Fonctionnement;11408;FRACTAL ASSOC;2700.0
Fonctionnement;7456;LE CORNET A DES ASSOC;6000.0
Investissement;60611;3IT;2778.65
Fonctionnement;24402;STADE TOULOUSAIN SECT  NATATION ASSOC;17500.0
Fonctionnement;46952;COLLECTIF JOB ASSOC;1500.0
Fonctionnement;37067;PAROLE EXPRESSION ASSOC;32255.0
Fonctionnement;11070;FITE FESTIVAL INTERNATIONAL THEATRE ENFANTS ET JEUNES;13500.0
Fonctionnement;73979;TRIATHLON TOULOUSE METROPOLE ASSOC;5000.0
Fonctionnement;18962;NE PERDONS PAS LE NORD ASSOC;450.0
Fonctionnement;75801;ASSOC COMITE DEPARTEMENTAL HANDISPORT 31;1700.0
Fonctionnement;12576;JUSTE UN AVANT GOUT ASSOC;2000.0
Fonctionnement;3226;DES ETUDIANTS DE L ISDAT ASSOC;3500.0
Fonctionnement;76398;ASSOCIATION GESTION D ALTERNATIBA TOULOUSE ASSOC;8000.0
Fonctionnement;567;AGIR ET DEVENIR ASSOC;4200.0
Fonctionnement;65470;TERR EAU CIEL ASSOC;5000.0
Fonctionnement;81465;SYNDICAT AUTONOME LE GOURDIN FA FPT;756.23
Fonctionnement;76585;CENTRE CULTUREL FRANCO-NIGERIEN;10411.6
Fonctionnement;25161;TFC TOULOUSE FOOTBALL CLUB SASP;1000000.0
Fonctionnement;2502;AVANT MARDI ASSOC;57900.0
Fonctionnement;8850;DETOURS DE CHANT ASSOC;13500.0
Fonctionnement;6000;CENTRE DE DEVELOPPEMENT CHOREGRAPHIQUE TOULOUSAIN ASSOC;333000.0
Fonctionnement;45667;LA COMPAGNIE ASSOC;19360.0
Fonctionnement;24032;1 2 3 SOLEIL CLAE ASSOC;458747.56
Fonctionnement;20898;CRECHE PARENTALE PREMIERS PAS SUR LA TERRASSE;105337.0
Fonctionnement;9694;ECOLE DES DROITS DE L HOMME ASSOC;19000.0
Fonctionnement;2545;TOULOUSE AVIRON  SPORTS LOISIR ASSOC;67660.0
Fonctionnement;63327;BULLES D ANGE ASSOC;44304.2
Fonctionnement;10580;FACE GRAND TOULOUSE  ASSOC;55000.0
Fonctionnement;46204;CLUB OLIVIER;830.0
Fonctionnement;46226;VACANCES FAMILLES 31 L ACCUEIL EN PLUS ASSOC;3000.0
Fonctionnement;62117;ART MANIAK ASSOC;4500.0
Fonctionnement;4669;ECOLE DE BOWLING DES JEUNES DE TOULOUSE;870.0
Fonctionnement;74669;LA CANDELA ASSOC;400.0
Fonctionnement;1537;ASS POUR LA PROMOTION CULTURE ET ARTS;38470.0
Fonctionnement;75221;COLLECTIF EIA ASSOC;2700.0
Fonctionnement;19314;BLEUE COMME UNE ORANGE ASSOC;6500.0
Fonctionnement;20534;PLAN 9 ASSOC;55056.0
Fonctionnement;21444;RANGUEIL FOOTBALL CLUB ASSOC;9570.0
Fonctionnement;22995;SATUC STADE ATHLETIC TOULOUSE UNIVERSITE CLUB ASSOC;51000.0
Fonctionnement;51053;CAP NOMADE ASSOC;11650.0
Fonctionnement;8574;DELIRES D ENCRE ASSOC;10303.0
Fonctionnement;13122;HAPPYCULTURE ASSOC;2250.0
Fonctionnement;7004;COCAGNE ACEPP 31;3500.0
Fonctionnement;74420;ASSO POUR ANIMATION MATHEMATIQUE;1000.0
Investissement;79494;TRANSPORTS SENGES CS32 SARL;6000.0
Fonctionnement;64639;LES AMIS DE LA BULLE CARREE ASSOC;3000.0
Fonctionnement;50471;LES IMAGINATIONS FERTILES SRL;10000.0
Fonctionnement;31109;TRESORERIE DE TOULOUSE CHU;158526.12
Fonctionnement;26135;COLLEGE VAUQUELIN;7580.0
Fonctionnement;37634;COMMUNE DE GRATENTOUR;50000.0
Fonctionnement;20593;POINT SCENE ASSOC;22500.0
Fonctionnement;2816;CRECHE LE BALLON;160160.0
Fonctionnement;9861;LES ELEMENTS ENSEMBLE VOCAL ASSOC;95000.0
Fonctionnement;25071;TENDRES CALINS ASSOC;80909.52
Fonctionnement;22357;ROTATION ASSOC;45000.0
Fonctionnement;2728;BAGDAM ESPACE LESBIEN ASSOC;13400.0
Fonctionnement;46200;INTERCLUBS CONCORDE 3IEME AGE;450.0
Fonctionnement;699;CLUB DES AINES DES PRADETTES;550.0
Fonctionnement;4672;BOXING CLUB TOULOUSAIN ASSOC;7400.0
Fonctionnement;20638;LA SEMAINE POLONAISE DE TOULOUSE ASSOC;2700.0
Fonctionnement;5700;CASIT COMITE ACTION SOCIALE ISRAELITE DE TOULOUSE ASSOC;10000.0
Fonctionnement;19491;L OUTIL EN MAIN ASSOC;1000.0
Fonctionnement;74914;DEFENSE INTERET CITOYENS EUROPEENS ASSOC;400.0
Fonctionnement;20975;PRISM POUR LA RECHERCHE ET INFO SOCIALE ET MEDICALE ASSOC;13000.0
Fonctionnement;21353;FOOTBALL CLUB BONNEFOY ASSOC;17000.0
Fonctionnement;19485;ANVP  OUSTAL ASSOC;9000.0
Fonctionnement;78433;FONDATION DES ARCHITECTES DE L URGENCE;3500.0
Fonctionnement;51051;ANIMACAO ASSOC;4000.0
Fonctionnement;25861;UCJG UNION CHRET JEUNES GENS ROBERT MONNIER ASSOC;20000.0
Fonctionnement;80915;CUBITENISTE AHA ASSOC;4800.0
Fonctionnement;15388;LASTIKO ASSOC;14500.0
Fonctionnement;19120;OCT ORCHESTRE CHAMBRE TOULOUSE SARL;200000.0
Fonctionnement;17998;MIXARTS MYRYS ASSOC;35500.0
Fonctionnement;18559;LES ATELIERS MUSICAUX ASSOC;47200.0
Fonctionnement;16200;LOHENGRIN ASSOC;29700.0
Fonctionnement;19926;CRECHE PAUSE CALIN PROJET PETIT A PETIT ASSOC;221080.0
Fonctionnement;1588;APSAR ANIMATION PREVENTION SOCIAL AMOUROUX ASSOC;342028.56
Fonctionnement;55062;LES AMIS DE JEAN JAURES A TOULOUSE ASSOC;5000.0
Fonctionnement;19886;TOULOUSE CLUB PATINAGE ME CARLES ASSOC;2610.0
Fonctionnement;11164;FNAR;270.0
Fonctionnement;73733;MUSIQUE PROMOTION CREW ASSOC;1800.0
Fonctionnement;16671;MAISON DES ECHECS TOULOUSE LARDENNE ASSOC;450.0
Fonctionnement;45752;CLUB 3IEME AGE CROIX DE PIERRE;650.0
Fonctionnement;25918;UNIES POUR  REUSSIR EMPALOT ASSOC;14900.0
Fonctionnement;65222;AFRICLAP ASSOC;1000.0
Fonctionnement;49660;VIVRE LE CANAL ASSOC;2000.0
Fonctionnement;25869;UFAC UNION FRANCAISE DES COMBATTANTS ASSOC;745.0
Fonctionnement;67485;MAISON DE QUARTIER BAGATELLE ASSOC;2500.0
Fonctionnement;47322;TOULOUSE HANDBALL SASP;870000.0
Fonctionnement;40094;DELL ARTE ASSOC;95000.0
Fonctionnement;16798;MANIFESTE ASSOC;14400.0
Fonctionnement;25906;GROUPE UNBER HUMBER ASSOC;11500.0
Fonctionnement;27642;CENTRE ACTIVITE ANATOLE FRANCE ASSOC;218926.0
Fonctionnement;9997;LES ENFANTS TERRIBLES ASSOC;161012.0
Fonctionnement;2484;AUXILIA ASSOC;800.0
Fonctionnement;10373;ETRE MOBILE C EST PERMIS;15000.0
Fonctionnement;77454;LIEU DE VIE FAOURETTE ASSOCIATION;10500.0
Fonctionnement;6206;COMITE  FETES  CROIX DAURADE;2000.0
Fonctionnement;7770;CRICAO;20300.0
Fonctionnement;64431;ACTION POUR LES ORPHELINS ROUMAINS ASSOC;150.0
Fonctionnement;77464;IMPACT;5000.0
Fonctionnement;11165;FNATH HTE GARONNE GRPT DEP ATH HTE GARONNE;2000.0
Fonctionnement;7776;CRIJ CENTRE REGIONAL INFORMATION JEUNESSE;152500.0
Fonctionnement;13077;TOULOUSE HALTERO CLUB ASSOC;1130.0
Fonctionnement;1694;SOC ARCHEOLOGIQUE DU MIDI DE LA FRANCE ASSOC;3000.0
Investissement;9146;DOMICIMM SARL;9815.54
Fonctionnement;55863;COMPAGNIE D ELLES ASSOC;1500.0
Fonctionnement;47899;TEC RUGBY ASSOC;9570.0
Fonctionnement;2025;ARTO ASS RAMONVILLE THEATRE OUVERT ASSOC;15300.0
Fonctionnement;10188;TUC SECTION ESCRIME TOULOUSE UNIVERSITE CLUB ASSOC;7830.0
Fonctionnement;44380;LA PETANQUE HERACLES ASSOC;700.0
Fonctionnement;20377;INSTITUT PICOT DE LAPEYROUSE ASSOC;9000.0
Fonctionnement;13889;ITINERAIRE INTERNATIONAL ASSOC;15000.0
Fonctionnement;21617;REFLETS ASSOC;19300.0
Fonctionnement;44227;COMITE DE JUMELAGE TOULOUSE-ATLANTA;3000.0
Fonctionnement;1226;GROUPE AMITIE FRATERNITE ASSOC;8000.0
Fonctionnement;72084;COLLECTIF ASSOCIATIONS ST MARTIN DU TOUCH ASSOC;1000.0
Fonctionnement;56137;OPEP ORGANISATION POUR L EMPLOI PARTAGE ASSOC;8000.0
Fonctionnement;24477;COLLEGE STENDHAL;5320.0
Fonctionnement;3235;COLLEGE BECANNE MAURICE;5810.0
Fonctionnement;6289;DES CHALETS HLM SA;25000.0
Fonctionnement;22624;LES SACQUEBOUTIERS ASSOC;60000.0
Fonctionnement;18005;MAISON POUR TOUS MJC ANCELY ASSOC;54731.75
Fonctionnement;7914;CENTRE CULTUREL FJEP MINIMES ASSOC;63300.0
Fonctionnement;62234;DU MAY ASSOC;225634.4
Fonctionnement;37943;MISSION LOCALE ASSOCIATION SIEGE ASSOC;959672.0
Fonctionnement;25192;THEATRE DU PAVE ASSOC;199500.0
Fonctionnement;10660;SPORTIVE DE LA FAOURETTE ASSOC;23800.0
Fonctionnement;46992;CLUB 3IEME AGE COLOMBETTE SAINT AUBIN;400.0
Fonctionnement;47882;CLUB 3IEME AGE LES AINES DE LA DAURADE;550.0
Fonctionnement;40103;CLAP MIDI PYRENEES - CRLAPP;39000.0
Investissement;7201;COMPAGNIE 111;17500.0
Fonctionnement;1942;ART DU CIRQUE DES PRADETTES ASSOC;720.0
Fonctionnement;42557;INCORPOREL ASSOC;1000.0
Fonctionnement;11081;FJEP JUDO RANGUEIL;870.0
Fonctionnement;16110;LIRE ET FAIRE LIRE 31 ASSOC;16250.0
Fonctionnement;14436;TOULOUSE JUDO ASSOC;38250.0
Fonctionnement;9606;CAISSA ASSOC;500.0
Fonctionnement;295;ACT UP SUD OUEST ASSOC;27400.0
Fonctionnement;24913;THEATRE TATTOO ASSOC;31500.0
Fonctionnement;11187;THEATRE FOLAVRIL ASSOC;2250.0
Fonctionnement;24770;TOULOUSE ATHLETIC CLUB NATATION CZ MORVAN LAURENCE ASSOC;5220.0
Fonctionnement;22273;TOULOUSE ROLLER HOCKEY CLUB ASSOC;7000.0
Fonctionnement;25408;LA TOILE BLANCHE ASSOC;24000.0
Fonctionnement;74189;KABYLE DE TOULOUSE ASSOC;3000.0
Fonctionnement;54709;FIL ROUGE ASSOC;7500.0
Fonctionnement;68623;LABORATEURS PEPINERE D ARTISTES ASSOC;7200.0
Fonctionnement;40916;ACADEMIE AIR ET ESPACE ASSOC;76500.0
Investissement;21199;PUPILLES ENSEIGNEMENT PUBLIC ASSOC;300000.0
Fonctionnement;2854;BANQUE ALIMENTAIRE TOULOUSE ET SA REGION ASSOC;33000.0
Fonctionnement;25910;CLUB UNESCO MIDI PYRENEES;1500.0
Fonctionnement;402;ADOT31  DON ORGANES TISSUS HUMAINS ASSOC;500.0
Fonctionnement;7368;CONTRE COURANT;7000.0
Fonctionnement;81020;ASSOCIATION DES ARENES ST CYPRIEN;700.0
Fonctionnement;6220;UNION REGIONALE CFTC MIDI PYRENEES;649.11
Fonctionnement;5985;CHAMBRE COMMERCE INDUSTRIE DE TOULOUSE;83155.0
Fonctionnement;34662;TOULOUSE IRON CLUB;34800.0
Fonctionnement;23160;SCIENCE ANIMATION MIDI PYRENEES ASSOC;54000.0
Fonctionnement;13740;FRANCO IMAZIGHEN KABYLIE AFRIKA 31;8500.0
Fonctionnement;19342;TOULOUSE LES ORGUES ASSOC;372600.0
Fonctionnement;2292;ATOLL LOISIRS FRANCE ASSOC;218141.28
Fonctionnement;1317;NEGRENEYS CURIE ASSOC;20150.0
Fonctionnement;11254;FOOTBALL CLUB TOAC TOEC RUGBY;111000.0
Fonctionnement;1250;CLUB INTER AGE ROSERAIE AMOUROUX;800.0
Investissement;6243;CGPI SOGAB SARL;5714.0
Fonctionnement;24281;SOURIRES D ENFANTS ASSOC;500.0
Fonctionnement;9423;COMPAGNIE NELSON DUMONT;36000.0
Fonctionnement;2195;SPORTIVE TOULOUSE MIRAIL BADMINTON ASSOC;700.0
Fonctionnement;22989;VIVRE AU SATIE ASSOC;6500.0
Fonctionnement;13300;COMITE DEFENSE QUARTIERS HERS;500.0
Fonctionnement;19880;PATCH WORK ASSOC;7760.0
Fonctionnement;79531;ASSOCIATION ALTERNATIF;19000.0
Fonctionnement;19541;SOLIHA HAUTE GARONNE;136399.84
Fonctionnement;20998;PRODUCTION DIFFUSION POUR LA JEUNESSE ASSOC;4200.0
Fonctionnement;20325;STE TOULOUSAINE DE PHILOSOPHIE ASSOC;1000.0
Fonctionnement;64499;NOTE ONLY ASSOC;1500.0
Fonctionnement;9952;EMETTEUR COMPAGNIE;4500.0
Fonctionnement;7565;MILLE ET UNE COULEURS ASSOC;3800.0
Fonctionnement;857;ALEF PRODUCTIONS ASSOC;2000.0
Fonctionnement;2033;ART REVES ACTION ARA ASSOC;4500.0
Fonctionnement;65676;LE STUDIO FRANCAIS ASSOC;1500.0
Fonctionnement;14446;UNION SPORTIVE TLSE JULES JULIEN XIII ASSOC;6800.0
Fonctionnement;9154;DOMINO;2000.0
Fonctionnement;25904;UNAFAM SECTION HTE GARONNE ASSOC;1400.0
Fonctionnement;55817;TOULOUSE METROPOLE PALMES ASSOC;4350.0
Fonctionnement;19477;LES OURS TOULOUSE FOOTBALL AMERICAIN ASSOC;17400.0
Fonctionnement;16450;THEATRE  LUTIN ASSOC;13500.0
Fonctionnement;3833;BOULES IZARDS CLUB ASSOC;1000.0
Fonctionnement;1443;NAT POUR INTEGRATION HANDICAPES MOTEURS ASSOC;350.0
Fonctionnement;2147;INSTITUT DE RECHERCHE ET D INNOVATION EN LANGUES DES SIGNES ASSOC;500.0
Fonctionnement;74956;DIABETIQUES DE MIDI PYRENEES ASSOC;1000.0
Fonctionnement;2553;AVOCATS SANS FRONTIERES ASSOC;9000.0
Fonctionnement;14151;CRECHE LE JARDIN ENCHANTE;90575.68
Fonctionnement;11952;GASEL GUILLAUMET SPORTS ET LOISIRS ASSOC;174393.65
Fonctionnement;15146;CRECHE LALANDOUNETTE HALTE GARDERIE;52921.0
Fonctionnement;660;AIDONS NOUS ASSOC;2000.0
Fonctionnement;20836;UNION SPORTIVE POUVOURVILLE ASSOC;12750.0
Fonctionnement;23788;SI T LIBRE ASSOC;57036.0
Fonctionnement;16224;LOISIRS EDUCATION ET CITOYENNETE GRAND SUD ASSOC;15946.0
Fonctionnement;21125;SOS SURDUS ASSOC;500.0
Fonctionnement;5444;CAP JEUNES 31 ASSOC;2500.0
Fonctionnement;11649;FUTSAL BELLEFONTAINE ASSOC;3000.0
Fonctionnement;14836;AYME KUNC ASSOC;3000.0
Fonctionnement;63105;PIXWHALE ASSOC;2000.0
Fonctionnement;47879;CLUB 3IEME AGE JULES JULIEN RANGUEIL;700.0
Fonctionnement;10503;TOULOUSE OVALIE XIII RUGBY ASSOC;6800.0
Fonctionnement;24776;TAC TENNIS DE TABLE ASSOC;4350.0
Fonctionnement;2056;ARTS ET OC ASSOC;2900.0
Fonctionnement;50542;LES PETITS CHANTEURS A LA CROIX POTENCEE DE TOULOUSE ASSOC;500.0
Fonctionnement;26563;VIVRE ENSEMBLE ASSOC;379274.0
Fonctionnement;17777;COMITE DE QUARTIER ST MICHEL;1120.0
Fonctionnement;14608;K DANSE;22500.0
Fonctionnement;18006;MJC PONT DES DEMOISELLES ASSOC;72350.0
Fonctionnement;11815;GAN RACHI ASSOC;108039.36
Fonctionnement;46206;EUROPEAN AEROSTUDENT GAMES EAG;800.0
Fonctionnement;16507;LOISIRS ENFANTS JEAN MACE ASSOC;379707.0
Fonctionnement;1412;ANIMAFAC ASSOC;1000.0
Fonctionnement;8256;ASEER ASS SOCIO EDUCATIVE EMPALOT RANGUEIL ASSOC;38000.0
Fonctionnement;11160;FNACA  ANCIENS  COMBATTANTS ALGERIE MAROC TUNISIE;2380.0
Fonctionnement;25537;STADE TOULOUSAIN RUGBY HANDISPORT ASSOC;8100.0
Fonctionnement;47156;AMICALE 3IEME AGE COTE PAVEE ASSOC;650.0
Fonctionnement;3170;BAZAR AU BAZACLE ASSOC;9000.0
Fonctionnement;2209;ASTRO BASKET CLUB ASSOC;8700.0
Investissement;55734;CITYA IMMOBILIER TOULOUSE SARL;4176.54
Fonctionnement;26977;ZO KWE ZO ASSOC;7000.0
Fonctionnement;24782;ECOLE TRADITIONNELLE DE TAEKWONDO ASSOC;8850.0
Fonctionnement;12101;GENEPI GROUPE ETUDE NAT ENSEIG PERS INCARCEREES ASSOC;1000.0
Fonctionnement;11822;GARAGE POUR TOUS ASSOC;27000.0
Fonctionnement;24403;STADE TOULOUSAIN ATHLETISME ASSOC;5000.0
Fonctionnement;7785;MOUVEMENT LE CRI SECTION 31 ASSOC;400.0
Fonctionnement;21023;PROGRES SON ASSOC;4500.0
Fonctionnement;156;ACADEMIE TOULOUSAINE  AMIS DE L ORIENT ASSOC;3000.0
Fonctionnement;77369;MEDI PASS ASSOC;3000.0
Fonctionnement;11217;TOULOUSE FONTAINES CLUB ASSOC;127500.0
Fonctionnement;46203;AMICALE DES AINES DE LAFOURGUETTE ASSOC;1200.0
Fonctionnement;25923;UNION TIR CLUB ASSOC;500.0
Fonctionnement;4484;COMITE BOULISTE DEPT DE LA HAUTE GARONNE;1300.0
Fonctionnement;10389;ETYMON ASSOC;20000.0
Fonctionnement;46029;NEO TOULOUSE FUTSAL ASSOC;1400.0
Fonctionnement;13913;INTERACTIONS ASSOC;10500.0
Fonctionnement;56702;APEC ASS PROMOMOTION D UNE EDUCATION CREATIVE AU SENEGAL ASSOC;1000.0
Fonctionnement;9975;ENAC LEONARD DE VINCI;7200.0
Fonctionnement;2873;EN COMPAGNIE DES BARBARES;3000.0
Fonctionnement;704;AIR AVENTURES ASSOC;5000.0
Fonctionnement;339;ADEC NS ASSOC;1800.0
Fonctionnement;50252;PARTAGEONS LES JARDINS ASSOC;3500.0
Fonctionnement;81239;IZARDS ATTITUDE ASSOC;1900.0
Fonctionnement;18663;COMPAGNIE NANAQUI;6900.0
Fonctionnement;34197;LES VIDEOPHAGES ASSOC;20700.0
Fonctionnement;20712;THEATRE  PONT NEUF ASSOC;33000.0
Fonctionnement;67165;TFHB TOULOUSE FEMININ HANDBALL ASSOC;87000.0
Fonctionnement;15614;LEB LOISIRS EDUCATION BAGATELLE ASSOC;138844.0
Fonctionnement;6112;CENTRE POLYVALENT JEAN RIEUX CRECHE HALTE GARDERIE ASSOC;221843.0
Investissement;74795;50 CINQ ASSOCIATION;9000.0
Fonctionnement;478;FONDATION ETUDIANTE POUR LA VILLE ASSOC;107200.0
Fonctionnement;2015;ARTIVITY ASSOC;13000.0
Fonctionnement;19791;PARLE AVEC ELLES ASSOC;16200.0
Fonctionnement;14325;JOE J OUVRE L OEIL ASSOC;5000.0
Fonctionnement;11646;LES FURIEUSES ASSOC;3600.0
Fonctionnement;1186;AMICALE DES ARMENIENS  TOULOUSE ASSOC;3000.0
Fonctionnement;46930;LES BRUISSONNANTES ASSOC;2000.0
Fonctionnement;584;AGORA ASSOC;30000.0
Fonctionnement;24065;SOLIDARITE BOUCHONS 31 ASSOC;1500.0
Fonctionnement;12728;GREP MIDI PYRENEES ASSOC;10000.0
Fonctionnement;6518;LES CHEMINS BUISSONNIERS ASSOC;11500.0
Fonctionnement;17250;LA COMPAGNIE DU PETIT MATIN ASSOC;7250.0
Fonctionnement;15719;ACADEMIE DE LEGISLATION ASSOC;3000.0
Fonctionnement;6623;CHOEUR FRANCOSLAVE DE TOULOUSE;1350.0
Fonctionnement;74015;QUAI ST PIERRE ASSOC;2000.0
Fonctionnement;5363;CANOE KAYAK TOULOUSAIN ASSOC;6960.0
Fonctionnement;523;AFRO EVENTS ASSOC;5400.0
Fonctionnement;19454;COMPAGNIE DU REVOIR;1000.0
Fonctionnement;52126;NATIONALE LE REFUGE ASSOC;5000.0
Fonctionnement;75584;ASSOC ACTIPHYPSY;1000.0
Fonctionnement;63734;LA COMPAGNIE DE LA TCHATCHE ASSOC;3000.0
Fonctionnement;18610;FRANCAISE CONTRE LES MYOPATHIES;600.0
Fonctionnement;6224;CGC UNION DEPARTEMENTALE CFE;300.0
Fonctionnement;81373;LES VAGABONDS;3000.0
Fonctionnement;58485;ANIM MALICE ASSOC;522631.99
Fonctionnement;9996;ENFANFARE ASSOC;359710.0
Fonctionnement;1321;CRECHE AND DO ASSOC;197200.0
Fonctionnement;24841;FESTIVAL INTERNATIONAL DE TANGO DE TOULOUSE;33300.0
Fonctionnement;68566;LES AMIS DE NOTRE DAME DES ANGES ASSOC;32114.5
Fonctionnement;6706;CENTRE INFORMATION SUR DROITS FEMMES ET FAMILLES HAUTE GARONNE ASSOC;30400.0
Fonctionnement;13107;COMITE REGIONAL MIDI PYRENEES HANDISPORT;4350.0
Fonctionnement;7026;CODEURS LPC 31;1350.0
Fonctionnement;1399;COMPAGNIE ROUGES LES ANGES;11500.0
Fonctionnement;75142;L AUTRE CERCLE MIDI PYRENEES;4100.0
Fonctionnement;80813;ASSOCIATION LE PAVE;1000.0
Fonctionnement;5328;CONFRERIE DU CANARD SAUVAGE THEATRE L ACTE;109800.0
Fonctionnement;18554;EOLE COLLECTIF DE MUSIQUE ACTIVE;33100.0
Fonctionnement;13326;CRECHE LE HIBOU;110240.0
Fonctionnement;7201;COMPAGNIE 111;45000.0
Fonctionnement;20834;COMITE DES SPORTS ET LOISIRS DE POUVOURVILLE;10000.0
Fonctionnement;23369;SEMECCEL CITE DE L ESPACE;4631396.18
Fonctionnement;13417;COLLECTIF D ASSOCIATION LE LIEN ASSOC;66899.0
Fonctionnement;10939;FESTIVAL DEODAT DE SEVERAC;28000.0
Fonctionnement;74711;DIVERS SENIORS;1400.0
Fonctionnement;1554;APIAF PROMOTION INITIATIVE AUTONOMES DES FEMMES ASSOC;28000.0
Fonctionnement;21447;COMITE FETES RANGUEIL SAUZELONG;3000.0
Fonctionnement;5323;CANALART ASSOC;5200.0
Fonctionnement;10235;CENTRE CULTUREL ESPERANTO ASSOC;550.0
Fonctionnement;19077;ARTISTES OCCITANS ASSOC;500.0
Fonctionnement;10747;FAUTE O GRAFF;6000.0
Fonctionnement;24367;UNION DES JEUNES SPORTIFS ASSOC;31300.0
Fonctionnement;48920;EQUIPE SAINT VINCENT;2000.0
Fonctionnement;19;AAT ADDICTIONS ACCUEIL THERAPEUTIQUE ASSOC;6300.0
Fonctionnement;61934;AUTISME 31 ASSOC;2350.0
