nomAttribuant;idAttribuant;dateConvention;referenceDecision;nomBeneficiaire;idBeneficiaire;objet;montant;nature;conditionsVersement;datesPeriodeVersement;idRAE;notificationUE;pourcentageSubvention
Ville de Toulouse;21310555400017;;;LIGUE DROITS DE L HOMME ASSOC;78457872600043;Subvention de Fonctionnement;4600.0;aide en numéraire;unique;2017-11-07;;non;1
Ville de Toulouse;21310555400017;;;LO CONGRES PERMANENT DE LA LENGA OCCITANA ASSOC;51362263900013;Subvention de Fonctionnement;5400.0;aide en numéraire;unique;2017-04-13;;non;1
Ville de Toulouse;21310555400017;;;LOISIRS BONHOURE ASSOC;35048999300013;Subvention de Fonctionnement;166943.0;aide en numéraire;échelonné;2017-11-09;;non;1
Ville de Toulouse;21310555400017;;;LYCEE DEODAT DE SEVERAC GRETA TOULOUSE;19310044300020;Subvention de Fonctionnement;28000.0;aide en numéraire;échelonné;2017-07-24;;non;1
Ville de Toulouse;21310555400017;;;MARENGO BONNEFOY ECOQUARTIER SOLIDAIRE TOULOUSAIN;82755707500013;Subvention de Fonctionnement;2500.0;aide en numéraire;unique;2017-07-12;;non;1
Ville de Toulouse;21310555400017;;;MEDECINS DU MONDE;32101874900127;Subvention de Fonctionnement;18000.0;aide en numéraire;unique;2017-10-31;;non;1
Ville de Toulouse;21310555400017;;;MIDI PYRENEES ACTIVE ASSOC;47960447200049;Subvention de Fonctionnement;13000.0;aide en numéraire;unique;2017-11-21;;non;1
Ville de Toulouse;21310555400017;;;MIXAH ASSOC;53417730800028;Subvention de Fonctionnement;4440.0;aide en numéraire;échelonné;2017-07-25;;non;1
Ville de Toulouse;21310555400017;;;MJC PREVERT ASSOC;31737317300044;Subvention de Fonctionnement;178080.0;aide en numéraire;échelonné;2017-12-20;;non;1
Ville de Toulouse;21310555400017;;;MOUVEMENT HF MIDI PYRENEES ASSOC;79864387000016;Subvention de Fonctionnement;1500.0;aide en numéraire;unique;2017-08-02;;non;1
Ville de Toulouse;21310555400017;;;MUSEE POSTAL DES ANCIENS AMBULANTS ASSOC;40173964400011;Subvention de Fonctionnement;2000.0;aide en numéraire;unique;2017-08-02;;non;1
Ville de Toulouse;21310555400017;;;MUSIC HALLE ASSOC;33964468400039;Subvention de Fonctionnement;43776.0;aide en numéraire;unique;2017-05-22;;non;1
Ville de Toulouse;21310555400017;;;MYCOLOGIQUE DE TOULOUSE ASSOC;50794660600013;Subvention de Fonctionnement;2000.0;aide en numéraire;unique;2017-11-09;;non;1
Ville de Toulouse;21310555400017;;;NATURE MIDI PYRENEES ASSOC;32316822900033;Subvention de Fonctionnement;9000.0;aide en numéraire;unique;2017-11-21;;non;1
Ville de Toulouse;21310555400017;;;NE PERDONS PAS LE NORD ASSOC;48828162700015;Subvention de Fonctionnement;450.0;aide en numéraire;unique;2017-10-30;;non;1
Ville de Toulouse;21310555400017;;;NIDS D ANGES CRECHE LES PETITS DROLES ASSOC;38312329600014;Subvention de Fonctionnement;98914.0;aide en numéraire;échelonné;2017-09-28;;non;1
