nomBeneficiaire;type;code;structure
ACDENT GROUPE DE THEATRE EUROPEEN;;;
CIRQUE DE FEMMES EN TOUT GENRE ASSOC;Autres organisations fonctionnant par adhésion volontaire;9499Z;Association déclarée
RESEAU SEMENCES PAYSANNES ASSOC;Autres organisations fonctionnant par adhésion volontaire;9499Z;Association déclarée
CEPIERE FORMATION ASSOC;Autres organisations fonctionnant par adhésion volontaire;9499Z;Association déclarée
CEA DE GRENOBLE DRT VALO CELISE;;;
POLE DE COMPETITIVITE EQUESTRE DE LA METROPOLE TOULOUSAINE ASSOC;;;
RESEAU COCAGNE ASSOC;Autres organisations fonctionnant par adhésion volontaire;9499Z;Association déclarée
SYND MIXTE CONSERVATOIRE BOTANIQUE PYRENEEN;Gestion des jardins botaniques et zoologiques et des réserves naturelles;9104Z;Etablissement public syndicat mixte
TERRITOIRES DE CIRQUE ASSOC;Autres organisations fonctionnant par adhésion volontaire;9499Z;Association déclarée
ARESO ASSOC;;;
CROQUEURS DE CAROTTES ASSOC;Autres organisations fonctionnant par adhésion volontaire;9499Z;Association déclarée
DERBI;;;
HERBES FRAICHES ET FOLLES EN VILLE ASSOC;Autres organisations fonctionnant par adhésion volontaire;9499Z;Association déclarée
ROULE MA FRITE 31 ASSOC;Entretien et réparation de véhicules automobiles légers;4520A;Association déclarée
AIRBUS GROUP SAS;Activités des sièges sociaux;7010Z;Société par actions simplifiée
ANDES ASS NAT DEVELOP EPICERIES SOLIDAIRES ASSOC;Autres organisations fonctionnant par adhésion volontaire;9499Z;Association déclarée
FRANCE NATURE ENVIRONNEMENT ASSOC;Autres organisations fonctionnant par adhésion volontaire;9499Z;Association déclarée
PETANIELLE ASSOC;;;
TERRE DE LIENS MIDI PYRENEES ASSOC;Autres organisations fonctionnant par adhésion volontaire;9499Z;Association déclarée
ASF AUTOROUTES SUD DE LA FRANCE SA (VINCI AUTOROUTES);Services auxiliaires des transports terrestres;5221Z;SA à conseil d'administration
FUB;;;
TERRE EN VIE 65  ASSOC;;;
ITINERAIRE INTERNATIONAL ASSOC;Autres organisations fonctionnant par adhésion volontaire;9499Z;Association déclarée
CENTRE D ETUDE TERRE D ACCUEIL DES BLES CETAB ASSOC;Autres organisations fonctionnant par adhésion volontaire;9499Z;Association déclarée
CANCEROPOLE GRAND SUD OUEST  GIP;Recherche-développement en autres sciences physiques et naturelles;7219Z;Groupement d'intérêt public
LE PAIN ART ASSOC;Boulangerie et boulangerie-pâtisserie;1071C;Société à responsabilité limitée
URBANIS SAS;Activités d'architecture;7111Z;Société par actions simplifiée
ARBRES ET PAYSAGES D AUTAN ASSOC;Autres organisations fonctionnant par adhésion volontaire;9499Z;Association déclarée
CONVIVENCIA ASSOC;Arts du spectacle vivant;9001Z;Association déclarée
FLA-KULTUR;Autres organisations fonctionnant par adhésion volontaire;9499Z;Etablissement secondaire
TERR EAU CIEL ASSOC;Activités de clubs de sports;9312Z;Association déclarée
TOULOUSE EN TRANSITION ASSOC;Autres organisations fonctionnant par adhésion volontaire;9499Z;Association déclarée
MIGRATEURS GARONNE DORDOGNE ASSOC MIGADO;Autres organisations fonctionnant par adhésion volontaire;9499Z;Association déclarée
GPT LA GARONNE EUREA SCAM;;;
CAUSSAT ESPACES VERTS SAS;Services d'aménagement paysager;8130Z;Société par actions simplifiée
COMPAGNONS BATISSEURS;;;
LES CHEMINS BUISSONNIERS ASSOC;Arts du spectacle vivant;9001Z;Association déclarée
FULLSAVE SAS;Conseil en systèmes et logiciels informatiques;6202A;SASU Société par actions simplifiée à associé unique
SYNDICAT AUTONOME LE GOURDIN FA FPT;Activités des syndicats de salariés;9420Z;Personne morale de droit privé
4 R CONCEPT SAS;Fabrication de bicyclettes et de véhicules pour invalides;3092Z;Société par actions simplifiée
3PA ASSOC;Autres enseignements;8559B;Association déclarée
REGION INTERPROFESSION PORCINE - MIDIPORC - ASSOC;Autres organisations fonctionnant par adhésion volontaire;9499Z;Association déclarée
FONCIERE D HABITAT ET HUMANISME SA;Location de logements;6820A;Société en commandite par actions
TOULOUSE ANDROID USER GROUP;;;
