nomBeneficiaire,type
OCCITANIE COOPERATION,Autres organisations fonctionnant par adhésion volontaire
LETSBRO ASSOC,Autres activités de soutien aux entreprises n.c.a.
CENTRE DRAMATIQUE NATIONAL TOULOUSE OCCITANIE,Arts du spectacle vivant
CONSEIL CITOYEN SOUPETARD LA GLOIRE ASSOC,Autres organisations fonctionnant par adhésion volontaire
TRESORERIE BLAGNAC,Administration publique générale
POUR PROMOTION CIRCUIT CANDIE ASSOC,Autres organisations fonctionnant par adhésion volontaire
CHAMBRE REGIONALE DE METIERS ET DE L ARTISANAT OCCITANIE,Activités des organisations patronales et consulaires
CCTE CONSEIL CITOYEN TOULOUSE EMPALOT,Autres organisations fonctionnant par adhésion volontaire
CHAMP D ACTIONS,Autres organisations fonctionnant par adhésion volontaire
JARDINIERS DE TOURNEFEUILLE ASSOC,Autres organisations fonctionnant par adhésion volontaire
PINKPONG ASSOC,Création artistique relevant des arts plastiques
SOLAFRIKA,Autres organisations fonctionnant par adhésion volontaire
TA ASSOC,Autres organisations fonctionnant par adhésion volontaire
CENTRE DE CRISE ET DE SOUTIEN,Affaires étrangères
ACADEMIE CHANCELLERIE TLS SACIM,Adm. pub. tutelle santé form. cult. & social (aut que sécu. soc.)
AQUIFLOR,Commerce de gros (commerce interentreprises) de fleurs et plantes
COMPAGNIE ANNE MA SOEUR ANNE,Arts du spectacle vivant
CREAR ESCUELA FAIRE ECOLE,Autres organisations fonctionnant par adhésion volontaire
CULTURES DU COEUR,Autres organisations fonctionnant par adhésion volontaire
CONSEIL CITOYEN DES BARRADELS,Autres organisations fonctionnant par adhésion volontaire
ELEMEN TERRE ASSOC,Autres organisations fonctionnant par adhésion volontaire
FEDERATION DES ENTREPRISES D INSERTION LANGUEDOC,Autres organisations fonctionnant par adhésion volontaire
FEDERATION NATIONALE DES ASSOCIATIONS D ACCUEIL - FNARS,Autres organisations fonctionnant par adhésion volontaire
PARTICIP ACTION,Recherche-développement en sciences humaines et sociales
RENCONT ROMS NOUS,Autres organisations fonctionnant par adhésion volontaire
UN ENFANT DES PARRAINS ASSOC,Action sociale sans hébergement n.c.a.
GROUPE RECHERCHE EDUCATION PROSPECTIVE,Autres organisations fonctionnant par adhésion volontaire
FONDATION PARTENARIALE I2ML,NA
JARDIN NATURE PIBRAC,Autres organisations fonctionnant par adhésion volontaire
EPIDE,NA
ASSOCIATION GENERALE DES PRODUCTEURS DE MAIS,Activités des organisations patronales et consulaires
DIRE,NA
SOLIDARITES INTERNATIONAL,Autres organisations fonctionnant par adhésion volontaire
TOULOUSE METROPOLE ONCOPOLE,Construction d'autres ouvrages de génie civil n.c.a.
VOYAGER EN IMAGES,Autres organisations fonctionnant par adhésion volontaire
WWF FRANCE,Autres organisations fonctionnant par adhésion volontaire
AGENCE DEVELOPPEMENT COMMUNAL VILLE ST LOUIS,NA
BOUGER POUR S EN SORTIR,Autres organisations fonctionnant par adhésion volontaire
APOIRC ASSOC,Arts du spectacle vivant
CANALART,Arts du spectacle vivant
CRF CROIX ROUGE FRANCAISE DELEGATION LOCALE TOULOUSE,Action sociale sans hébergement n.c.a.
COMMUNE DE ST JORY,Administration publique générale
CLUB ENTRE SECURITE ROUTIERE TLSE GARONN,Autres organisations fonctionnant par adhésion volontaire
COMITE JUMELAGE SAINT ALBAN,Autres organisations fonctionnant par adhésion volontaire
COMMUNE DE CASTELGINEST,Administration publique générale
COMMUNE DE GRATENTOUR,Administration publique générale
OCCITANIE PIONNIERES,Autres organisations fonctionnant par adhésion volontaire
PLUM SWORLD TOUR,Autres organisations fonctionnant par adhésion volontaire
REBONDS,Activités de clubs de sports
ENTREPRISE JEAN LATOUR SAS,Travaux de peinture et vitrerie
ECOLE CITOYENNE,Formation continue d'adultes
RESIDENCES SOCIALES DE FRANCE 3F,Location de terrains et d'autres biens immobiliers
FONDATION ETUDIANTE POUR LA VILLE,NA
EXTRA,"Ingénierie, études techniques"
HAMAP,Autres organisations fonctionnant par adhésion volontaire
