nomAttribuant;idAttribuant;dateConvention;referenceDecision;nomBeneficiaire;idBeneficiaire;objet;montant;nature;conditionsVersement;datesPeriodeVersement;idRAE;notificationUE;pourcentageSubvention
Toulouse Métropole;24310051800170;;;ACCUEIL ET FAMILLE PLACEMENT FAMILIAL ASSOC;77693902700046;Subvention de Fonctionnement;5779.5;aide en numéraire;échelonné;2015-12-14;;non;1
Toulouse Métropole;24310051800170;;;AGIT GROUPE INTERVENTIONS THEATRALES ASSOC;37782452900038;Subvention de Fonctionnement;18000.0;aide en numéraire;unique;2015-07-28;;non;1
Toulouse Métropole;24310051800170;;;CHAMBRE DEPT  AGRICULTURE HAUTE-GARONNE;18310004900026;Subvention d'équipement;12512.5;aide en numéraire;unique;2015-12-04;;non;1
Toulouse Métropole;24310051800170;;;DESBALS SERVICES REGIE DE QUARTIER;39343298400051;Subvention de Fonctionnement;3300.0;aide en numéraire;unique;2015-10-23;;non;1
Toulouse Métropole;24310051800170;;;CARREFOURS POUR L EMPLOI;43294548300035;Subvention de Fonctionnement;90000.0;aide en numéraire;échelonné;2015-08-03;;non;1
Toulouse Métropole;24310051800170;;;COMMUNE DE QUINT FONSEGRIVES;21310445800012;Subvention d'équipement;19614.84;aide en numéraire;unique;2015-12-17;;non;1
Toulouse Métropole;24310051800170;;;COMMUNE DE TOULOUSE;21310555400017;Subvention d'équipement;3700000.0;aide en numéraire;échelonné;2015-12-15;;non;1
Toulouse Métropole;24310051800170;;;ATMO OCCITANIE;30859970300037;Subvention de Fonctionnement;170000.0;aide en numéraire;échelonné;2015-12-30;;non;1
Toulouse Métropole;24310051800170;;;COMMUNE DE TOULOUSE;21310555400017;Subvention de Fonctionnement;12500.0;aide en numéraire;unique;2015-10-29;;non;1
Toulouse Métropole;24310051800170;;;MIGRATEURS GARONNE DORDOGNE ASSOC MIGADO;39161049000065;Subvention de Fonctionnement;2500.0;aide en numéraire;unique;2015-11-19;;non;1
Toulouse Métropole;24310051800170;;;ISDAT INSTITUT SUP DES ARTS DE TOULOUSE;20002884300015;Subvention de Fonctionnement;100000.0;aide en numéraire;unique;2015-12-18;;non;1
Toulouse Métropole;24310051800170;;;MIDI PYRENEES ACTIVE ASSOC;47960447200049;Subvention de Fonctionnement;115700.0;aide en numéraire;échelonné;2015-12-07;;non;1
Toulouse Métropole;24310051800170;;;ITINERAIRE INTERNATIONAL ASSOC;40345361600035;Subvention de Fonctionnement;10000.0;aide en numéraire;unique;2015-08-04;;non;1
Toulouse Métropole;24310051800170;;;MIX ARTS MYRYS ASSOC;41816980100044;Subvention de Fonctionnement;160000.0;aide en numéraire;échelonné;2015-12-18;;non;1
Toulouse Métropole;24310051800170;;;GRAINE MIDI PYRENEES ASSOC;42058246200032;Subvention de Fonctionnement;3600.0;aide en numéraire;unique;2015-11-19;;non;1
Toulouse Métropole;24310051800170;;;LA GLANERIE ASSOC;45357906200051;Subvention de Fonctionnement;140000.0;aide en numéraire;échelonné;2015-12-08;;non;1
Toulouse Métropole;24310051800170;;;DICVIE ASSOC;51488065700010;Subvention de Fonctionnement;5000.0;aide en numéraire;échelonné;2015-12-16;;non;1
Toulouse Métropole;24310051800170;;;K DANSE;32694316400029;Subvention de Fonctionnement;10000.0;aide en numéraire;unique;2015-07-28;;non;1
Toulouse Métropole;24310051800170;;;GPT LA GARONNE EUREA SCAM;;Subvention d'équipement;36166.3;aide en numéraire;unique;2015-12-08;;non;1
Toulouse Métropole;24310051800170;;;UNION REG SOCIETES COOPERATIVE DE PRODUCTION ASSOC;31219437600058;Subvention de Fonctionnement;12000.0;aide en numéraire;unique;2015-09-18;;non;1
Toulouse Métropole;24310051800170;;;RFTM RECETTE DES FINANCES TOULOUSE MUNICIPALE;13000835201018;Subvention d'équipement;1338631.75;aide en numéraire;échelonné;2015-12-31;;non;1
Toulouse Métropole;24310051800170;;;UNIVERSITE FEDERALE DE TOULOUSE MIDI-PYRENEES;13002132200016;Subvention d'équipement;545661.5;aide en numéraire;échelonné;2015-11-10;;non;1
Toulouse Métropole;24310051800170;;;NOUVEAU LOGIS MERIDIONAL HLM SA;33081455900085;Subvention d'équipement;478280.0;aide en numéraire;échelonné;2015-11-20;;non;1
Toulouse Métropole;24310051800170;;;MOBILIB CITIZ TOULOUSE SCIC;50318279200021;Subvention de Fonctionnement;68000.0;aide en numéraire;unique;2015-11-13;;non;1
Toulouse Métropole;24310051800170;;;UIMM MIDI-PYRENEES;77694947100010;Subvention de Fonctionnement;5000.0;aide en numéraire;unique;2015-07-20;;non;1
Toulouse Métropole;24310051800170;;;SYNDICAT INTERCO CFDT MAIRIE TOULOUSE METROPOLE;;Subvention de Fonctionnement;988.89;aide en numéraire;unique;2015-12-29;;non;1
Toulouse Métropole;24310051800170;;;SYNDICAT CGT ORGANISA CUTM;;Subvention de Fonctionnement;951.09;aide en numéraire;unique;2015-12-29;;non;1
Toulouse Métropole;24310051800170;;;2 BOUTS ASSOC;48854212700045;Subvention de Fonctionnement;4500.0;aide en numéraire;unique;2015-11-19;;non;1
Toulouse Métropole;24310051800170;;;ADEPES;42497906000037;Subvention de Fonctionnement;17000.0;aide en numéraire;échelonné;2015-12-07;;non;1
Toulouse Métropole;24310051800170;;;ADN MP DIGITAL PLACE ASSOC;53108169300024;Subvention de Fonctionnement;20000.0;aide en numéraire;unique;2015-12-01;;non;1
Toulouse Métropole;24310051800170;;;ADOMA SA;78805803001675;Subvention d'équipement;452000.0;aide en numéraire;échelonné;2015-10-23;;non;1
Toulouse Métropole;24310051800170;;;AEROSPACE VALLEY;48428452600072;Subvention de Fonctionnement;80000.0;aide en numéraire;échelonné;2015-09-04;;non;1
Toulouse Métropole;24310051800170;;;ANAH AGENCE NATIONALE DE L HABITAT;18006702700029;Subvention d'équipement;700000.0;aide en numéraire;unique;2015-06-05;;non;1
Toulouse Métropole;24310051800170;;;ASF AUTOROUTES SUD DE LA FRANCE SA (VINCI AUTOROUTES);57213999603575;Subvention d'équipement;148718.51;aide en numéraire;unique;2015-06-17;;non;1
Toulouse Métropole;24310051800170;;;ASS DEV EPREUV EDUCAT ECO-MOBILITE ASSOC;51272762900028;Subvention de Fonctionnement;4000.0;aide en numéraire;unique;2015-11-19;;non;1
Toulouse Métropole;24310051800170;;;AVENIR NOUVELLE MAISON DES CHOMEURS;44012166300023;Subvention de Fonctionnement;10000.0;aide en numéraire;échelonné;2015-09-22;;non;1
Toulouse Métropole;24310051800170;;;CAUSSAT ESPACES VERTS SAS;30019733200012;Subvention d'équipement;3000.0;aide en numéraire;unique;2015-11-19;;non;1
