nomAttribuant;idAttribuant;dateConvention;referenceDecision;nomBeneficiaire;idBeneficiaire;objet;montant;nature;conditionsVersement;datesPeriodeVersement;idRAE;notificationUE;pourcentageSubvention
Toulouse Métropole;24310051800170;;;2 BOUTS ASSOC;48854212700045;Subvention de Fonctionnement;6400.0;aide en numéraire;unique;2017-10-31;;non;1
Toulouse Métropole;24310051800170;;;3PA ASSOC;50870892200028;Subvention de Fonctionnement;4500.0;aide en numéraire;unique;2017-10-31;;non;1
Toulouse Métropole;24310051800170;;;CHAMBRE REGIONALE DE METIERS ET DE L ARTISANAT OCCITANIE;13002223900011;Subvention de Fonctionnement;500.0;aide en numéraire;unique;2017-06-28;;non;1
Toulouse Métropole;24310051800170;;;CENTRE DRAMATIQUE NATIONAL TOULOUSE OCCITANIE;30612789500044;Subvention d'équipement;124000.0;aide en numéraire;échelonné;2017-09-05;;non;1
Toulouse Métropole;24310051800170;;;CNRS CTRE NAT DE LA RECHERCHE SCIENTIFIQUE;18008901303720;Subvention d'équipement;872800.0;aide en numéraire;échelonné;2017-12-12;;non;1
Toulouse Métropole;24310051800170;;;CCTE CONSEIL CITOYEN TOULOUSE EMPALOT;82816126500016;Subvention de Fonctionnement;4057.0;aide en numéraire;unique;2017-07-31;;non;1
Toulouse Métropole;24310051800170;;;COMMUNE DE COLOMIERS;21310149600015;Subvention de Fonctionnement;19321.22;aide en numéraire;échelonné;2017-11-29;;non;1
Toulouse Métropole;24310051800170;;;COMPAGNIE DES MOBILITES SARL;52156374200035;Subvention d'équipement;8500.0;aide en numéraire;unique;2017-05-15;;non;1
Toulouse Métropole;24310051800170;;;COMMUNE DE FENOUILLET;21310182700011;Subvention de Fonctionnement;5000.0;aide en numéraire;unique;2017-11-10;;non;1
Toulouse Métropole;24310051800170;;;BAJO EL MAR ASSOC;53214701400023;Subvention de Fonctionnement;20000.0;aide en numéraire;unique;2017-11-27;;non;1
Toulouse Métropole;24310051800170;;;CHAMP D ACTIONS;83028062400016;Subvention de Fonctionnement;400.0;aide en numéraire;unique;2017-11-27;;non;1
Toulouse Métropole;24310051800170;;;COMMUNE DE TOULOUSE;21310555400017;Subvention d'équipement;1979498.0;aide en numéraire;unique;2017-12-07;;non;1
Toulouse Métropole;24310051800170;;;LA MAISON DE L INITIATIVE SCOP;39838610200048;Subvention de Fonctionnement;29592.88;aide en numéraire;échelonné;2017-12-04;;non;1
Toulouse Métropole;24310051800170;;;SEMECCEL CITE DE L ESPACE;40826624500021;Subvention de Fonctionnement;3154557.73;aide en numéraire;échelonné;2017-12-11;;non;1
Toulouse Métropole;24310051800170;;;JARDINIERS DE TOURNEFEUILLE ASSOC;45318083800014;Subvention de Fonctionnement;1000.0;aide en numéraire;unique;2017-10-31;;non;1
Toulouse Métropole;24310051800170;;;OBSERVER IMMOBILIER TOULOUSAIN;48118780500033;Subvention de Fonctionnement;20000.0;aide en numéraire;unique;2017-11-27;;non;1
Toulouse Métropole;24310051800170;;;LES CYCLES HEUREUX ASSO;81126320100022;Subvention de Fonctionnement;39451.83;aide en numéraire;échelonné;2017-11-20;;non;1
Toulouse Métropole;24310051800170;;;ENAC ECOLE AVIATION CIVILE;19311256200015;Subvention d'équipement;652000.0;aide en numéraire;échelonné;2017-11-27;;non;1
Toulouse Métropole;24310051800170;;;PINKPONG ASSOC;51372174600016;Subvention de Fonctionnement;23000.0;aide en numéraire;unique;2017-12-31;;non;1
Toulouse Métropole;24310051800170;;;REFLETS;43912405800025;Subvention de Fonctionnement;13000.0;aide en numéraire;échelonné;2017-12-04;;non;1
Toulouse Métropole;24310051800170;;;L USINE;39977063500031;Subvention de Fonctionnement;220000.0;aide en numéraire;échelonné;2017-06-21;;non;1
Toulouse Métropole;24310051800170;;;SOLAFRIKA;50197852200057;Subvention de Fonctionnement;10514.0;aide en numéraire;unique;2017-09-21;;non;1
Toulouse Métropole;24310051800170;;;AUAT AGENCE  URBANISME AGGLOMERATION TOULOUSAINE ASSOC;77695030500016;Subvention de Fonctionnement;2250000.0;aide en numéraire;échelonné;2017-09-28;;non;1
Toulouse Métropole;24310051800170;;;ACCUEIL ET FAMILLE PLACEMENT FAMILIAL ASSOC;77693902700046;Subvention de Fonctionnement;13200.0;aide en numéraire;unique;2017-09-22;;non;1
Toulouse Métropole;24310051800170;;;AGIT GROUPE INTERVENTIONS THEATRALES ASSOC;37782452900038;Subvention de Fonctionnement;18000.0;aide en numéraire;unique;2017-11-22;;non;1
Toulouse Métropole;24310051800170;;;ANAH AGENCE NATIONALE DE L HABITAT;18006702700029;Subvention d'équipement;1105000.0;aide en numéraire;unique;2017-11-22;;non;1
Toulouse Métropole;24310051800170;;;ATMO OCCITANIE;30859970300037;Subvention de Fonctionnement;170000.0;aide en numéraire;échelonné;2017-11-29;;non;1
Toulouse Métropole;24310051800170;;;ACOUCITE ASSOC;41011843400035;Subvention de Fonctionnement;20000.0;aide en numéraire;échelonné;2017-11-30;;non;1
Toulouse Métropole;24310051800170;;;ARTILECT ASSOC;51311307600030;Subvention de Fonctionnement;30000.0;aide en numéraire;échelonné;2017-12-18;;non;1
Toulouse Métropole;24310051800170;;;ATMO OCCITANIE;30859970300037;Subvention d'équipement;78000.0;aide en numéraire;échelonné;2017-07-10;;non;1
Toulouse Métropole;24310051800170;;;ARPADE;30492789000091;Subvention de Fonctionnement;139510.0;aide en numéraire;échelonné;2017-12-31;;non;1
Toulouse Métropole;24310051800170;;;ADEPES;42497906000037;Subvention de Fonctionnement;7000.0;aide en numéraire;unique;2017-05-24;;non;1
Toulouse Métropole;24310051800170;;;TERRITOIRES LOGEMENT ET ANALYSES SOCIALES ASSOC;53192045200012;Subvention de Fonctionnement;20400.0;aide en numéraire;unique;2017-09-15;;non;1
Toulouse Métropole;24310051800170;;;TOULOUSE METROPOLE ASSAINISSEMENT;24310051800089;Subvention d'équipement;400469.41;aide en numéraire;unique;2017-12-18;;non;1
Toulouse Métropole;24310051800170;;;SOLIBRE ASSOC;80128443100013;Subvention de Fonctionnement;9000.0;aide en numéraire;échelonné;2017-12-14;;non;1
Toulouse Métropole;24310051800170;;;UIMM MIDI-PYRENEES;77694947100010;Subvention de Fonctionnement;4000.0;aide en numéraire;unique;2017-05-24;;non;1
Toulouse Métropole;24310051800170;;;TA ASSOC;50842756400028;Subvention de Fonctionnement;10000.0;aide en numéraire;unique;2017-07-26;;non;1
Toulouse Métropole;24310051800170;;;SYNDICAT INTERCO CFDT MAIRIE TOULOUSE METROPOLE;;Subvention de Fonctionnement;988.89;aide en numéraire;unique;2017-12-14;;non;1
Toulouse Métropole;24310051800170;;;CCIT CHAMBRE COMMERCE INDUSTRIE DE TOULOUSE;18310002300013;Subvention de Fonctionnement;100750.0;aide en numéraire;échelonné;2017-12-14;;non;1
Toulouse Métropole;24310051800170;;;ASSOCIATION DU CONSEIL  CITOYEN COLUMERIN;82363550300019;Subvention de Fonctionnement;2903.0;aide en numéraire;unique;2017-07-31;;non;1
Toulouse Métropole;24310051800170;;;ARBRES ET PAYSAGES D AUTAN ASSOC;41406082200023;Subvention de Fonctionnement;3600.0;aide en numéraire;unique;2017-10-31;;non;1
Toulouse Métropole;24310051800170;;;CENTRE DE CRISE ET DE SOUTIEN;13001257800014;Subvention de Fonctionnement;15000.0;aide en numéraire;unique;2017-08-16;;non;1
Toulouse Métropole;24310051800170;;;ACADEMIE CHANCELLERIE TLS SACIM;18310009800023;Subvention d'équipement;164314.52;aide en numéraire;unique;2017-12-13;;non;1
Toulouse Métropole;24310051800170;;;CITES UNIES FRANCE ASSOC;30957565200040;Subvention de Fonctionnement;10000.0;aide en numéraire;unique;2017-08-16;;non;1
