nomAttribuant;idAttribuant;dateConvention;referenceDecision;nomBeneficiaire;idBeneficiaire;objet;montant;nature;conditionsVersement;datesPeriodeVersement;idRAE;notificationUE;pourcentageSubvention
Toulouse Métropole;24310051800170;;;ACOUCITE ASSOC;41011843400035;Subvention de Fonctionnement;25000.0;aide en numéraire;échelonné;2014-10-28;;non;1
Toulouse Métropole;24310051800170;;;ADN MP DIGITAL PLACE ASSOC;53108169300024;Subvention de Fonctionnement;20000.0;aide en numéraire;unique;2014-11-06;;non;1
Toulouse Métropole;24310051800170;;;AGIT GROUPE INTERVENTIONS THEATRALES ASSOC;37782452900038;Subvention de Fonctionnement;20000.0;aide en numéraire;unique;2014-03-19;;non;1
Toulouse Métropole;24310051800170;;;AGRI SUD OUEST INNOVATION SA;49919608700047;Subvention de Fonctionnement;30000.0;aide en numéraire;échelonné;2014-07-21;;non;1
Toulouse Métropole;24310051800170;;;ANAH AGENCE NATIONALE DE L HABITAT;18006702700029;Subvention d'équipement;920000.0;aide en numéraire;échelonné;2014-10-20;;non;1
Toulouse Métropole;24310051800170;;;ARESO ASSOC;47807491700012;Subvention de Fonctionnement;1411.0;aide en numéraire;unique;2014-08-11;;non;1
Toulouse Métropole;24310051800170;;;ASS DEV EPREUV EDUCAT ECO-MOBILITE ASSOC;51272762900028;Subvention de Fonctionnement;5000.0;aide en numéraire;unique;2014-11-20;;non;1
Toulouse Métropole;24310051800170;;;BAJO EL MAR ASSOC;53214701400023;Subvention de Fonctionnement;1000.0;aide en numéraire;unique;2014-06-30;;non;1
Toulouse Métropole;24310051800170;;;CARREFOURS POUR L EMPLOI;43294548300035;Subvention de Fonctionnement;90000.0;aide en numéraire;échelonné;2014-08-01;;non;1
Toulouse Métropole;24310051800170;;;CLUB GALAXIE ASSOC;48171391500017;Subvention de Fonctionnement;3000.0;aide en numéraire;unique;2014-10-15;;non;1
Toulouse Métropole;24310051800170;;;CNRS CTRE NAT DE LA RECHERCHE SCIENTIFIQUE;18008901303720;Subvention d'équipement;259390.0;aide en numéraire;échelonné;2014-12-11;;non;1
Toulouse Métropole;24310051800170;;;COMITE LOCAL LOGEMENT AUTONOME DES JEUNES;77572842100261;Subvention de Fonctionnement;7000.0;aide en numéraire;unique;2014-03-24;;non;1
Toulouse Métropole;24310051800170;;;COMMUNE DE ST ORENS DE GAMEVILLE;21310506700010;Subvention de Fonctionnement;6000.0;aide en numéraire;unique;2014-09-24;;non;1
Toulouse Métropole;24310051800170;;;COMMUNE DE TOULOUSE;21310555400017;Subvention de Fonctionnement;12500.0;aide en numéraire;unique;2014-12-31;;non;1
Toulouse Métropole;24310051800170;;;COMPAGNIE DES MOBILITES SARL;52156374200035;Subvention de Fonctionnement;20000.0;aide en numéraire;unique;2014-11-26;;non;1
Toulouse Métropole;24310051800170;;;COMPAGNIE LA BARAQUE;37927684300032;Subvention de Fonctionnement;15000.0;aide en numéraire;unique;2014-12-18;;non;1
Toulouse Métropole;24310051800170;;;COOP ACTION SARL;44238180200028;Subvention de Fonctionnement;15000.0;aide en numéraire;unique;2014-11-27;;non;1
Toulouse Métropole;24310051800170;;;COORACE OCCITANIE;40173631900047;Subvention de Fonctionnement;9000.0;aide en numéraire;unique;2014-11-05;;non;1
Toulouse Métropole;24310051800170;;;CRESS CHAMBRE REG ECONOMIE SOCIALE ET SOLIDAIRE ASSOC;41120410000035;Subvention de Fonctionnement;20000.0;aide en numéraire;échelonné;2014-12-23;;non;1
Toulouse Métropole;24310051800170;;;CROQUEURS DE CAROTTES ASSOC;80263263800010;Subvention de Fonctionnement;345.0;aide en numéraire;unique;2014-12-09;;non;1
Toulouse Métropole;24310051800170;;;DERBI;48526933600015;Subvention de Fonctionnement;24000.0;aide en numéraire;unique;2014-11-20;;non;1
Toulouse Métropole;24310051800170;;;DES CHALETS HLM SA;66080284400028;Subvention d'équipement;2696606.0;aide en numéraire;échelonné;2014-12-04;;non;1
Toulouse Métropole;24310051800170;;;ECOLE DE CIRQUE PEP S;38420801300050;Subvention de Fonctionnement;14200.0;aide en numéraire;unique;2014-02-10;;non;1
Toulouse Métropole;24310051800170;;;ECOLE DES PARENTS ET EDUCATEURS;32054356400050;Subvention de Fonctionnement;48994.0;aide en numéraire;échelonné;2014-12-18;;non;1
Toulouse Métropole;24310051800170;;;ECOLE D INGENIEURS DE PURPAN ASSOC;77694414200012;Subvention d'équipement;1000000.0;aide en numéraire;échelonné;2014-12-10;;non;1
Toulouse Métropole;24310051800170;;;ECOLE REGIONALE 2EME CHANCE ASSOC;44990858100027;Subvention de Fonctionnement;100000.0;aide en numéraire;échelonné;2014-12-22;;non;1
Toulouse Métropole;24310051800170;;;FACE GRAND TOULOUSE  ASSOC;43482616000062;Subvention de Fonctionnement;31667.0;aide en numéraire;échelonné;2014-10-10;;non;1
Toulouse Métropole;24310051800170;;;FRIENDISES SAS;80425292200021;Subvention de Fonctionnement;1500.0;aide en numéraire;unique;2014-10-02;;non;1
Toulouse Métropole;24310051800170;;;HERBES FRAICHES ET FOLLES EN VILLE ASSOC;;Subvention de Fonctionnement;720.0;aide en numéraire;unique;2014-07-08;;non;1
Toulouse Métropole;24310051800170;;;IDEES INTERIM;50937775000013;Subvention de Fonctionnement;357.6;aide en numéraire;unique;2014-11-12;;non;1
Toulouse Métropole;24310051800170;;;IMO LLEIDA;;Subvention de Fonctionnement;23782.44;aide en numéraire;unique;2014-10-29;;non;1
Toulouse Métropole;24310051800170;;;LA GLANERIE ASSOC;45357906200051;Subvention de Fonctionnement;100000.0;aide en numéraire;échelonné;2014-11-24;;non;1
