nomAttribuant;idAttribuant;dateConvention;referenceDecision;nomBeneficiaire;idBeneficiaire;objet;montant;nature;conditionsVersement;datesPeriodeVersement;idRAE;notificationUE;pourcentageSubvention
Toulouse Métropole;24310051800170;;;ADN MP DIGITAL PLACE ASSOC;53108169300024;Subvention de Fonctionnement;24000.0;aide en numéraire;échelonné;2012-12-12;;non;1
Toulouse Métropole;24310051800170;;;MFPF MOUVEMENT FRANCAIS PLANNING FAMILIAL HAUTE-GARONNE ASSOC;49040073600024;Subvention de Fonctionnement;12000.0;aide en numéraire;unique;2012-06-26;;non;1
Toulouse Métropole;24310051800170;;;GIP DOC 31 DEPISTAGE ORGANISE DES CANCERS EN HAUTE-GARONNE;13000571300016;Subvention de Fonctionnement;5000.0;aide en numéraire;unique;2012-12-10;;non;1
Toulouse Métropole;24310051800170;;;MOUVEMENT DES ENTREPRENEURS SOCIAUX ASSOC;52006778600035;Subvention de Fonctionnement;28000.0;aide en numéraire;échelonné;2012-10-31;;non;1
Toulouse Métropole;24310051800170;;;MAISON EMPLOI DE TOULOUSE ASSOC;49252474900016;Subvention de Fonctionnement;5000.0;aide en numéraire;unique;2012-09-21;;non;1
Toulouse Métropole;24310051800170;;;MIX ARTS MYRYS ASSOC;41816980100044;Subvention de Fonctionnement;104500.0;aide en numéraire;échelonné;2012-12-17;;non;1
Toulouse Métropole;24310051800170;;;ICF ATLANTIQUE HLM SA;77569088600822;Subvention d'équipement;117200.0;aide en numéraire;échelonné;2012-12-10;;non;1
Toulouse Métropole;24310051800170;;;INCUBATEUR REGIONAL NUBBO;43298866500027;Subvention de Fonctionnement;54000.0;aide en numéraire;unique;2012-12-12;;non;1
Toulouse Métropole;24310051800170;;;GRISELIDIS ASSOC;43243801800041;Subvention de Fonctionnement;4000.0;aide en numéraire;unique;2012-07-26;;non;1
Toulouse Métropole;24310051800170;;;K DANSE;32694316400029;Subvention de Fonctionnement;10000.0;aide en numéraire;unique;2012-09-26;;non;1
Toulouse Métropole;24310051800170;;;MISSION LOCALE TOULOUSE;;Subvention de Fonctionnement;58782.34;aide en numéraire;unique;2012-03-16;;non;1
Toulouse Métropole;24310051800170;;;PATRIMOINE LANGUEDOCIENNE HLM SA;55080277100034;Subvention d'équipement;905869.8;aide en numéraire;échelonné;2012-12-06;;non;1
Toulouse Métropole;24310051800170;;;OBSERVER IMMOBILIER TOULOUSAIN;48118780500033;Subvention de Fonctionnement;21000.0;aide en numéraire;unique;2012-09-10;;non;1
Toulouse Métropole;24310051800170;;;SNI SUD OUEST AGENCE TOULOUSE SA;47080116802486;Subvention d'équipement;43360.0;aide en numéraire;unique;2012-07-24;;non;1
Toulouse Métropole;24310051800170;;;PREVENTION ROUTIERE ASSOC;77571979202437;Subvention de Fonctionnement;2000.0;aide en numéraire;unique;2012-06-25;;non;1
Toulouse Métropole;24310051800170;;;SNCF RESEAU;41228073700310;Subvention d'équipement;10229946.92;aide en numéraire;échelonné;2012-12-06;;non;1
Toulouse Métropole;24310051800170;;;SAS BIOVA;80991562200017;Subvention de Fonctionnement;4000.0;aide en numéraire;unique;2012-11-15;;non;1
Toulouse Métropole;24310051800170;;;ORANGE SA;38012986646850;Subvention d'équipement;136977.06;aide en numéraire;échelonné;2012-12-12;;non;1
Toulouse Métropole;24310051800170;;;OCTOPUS;35408547400030;Subvention de Fonctionnement;4000.0;aide en numéraire;unique;2012-12-31;;non;1
Toulouse Métropole;24310051800170;;;SYNDICAT COPRO LES JONQUILLES;;Subvention d'équipement;18119.28;aide en numéraire;unique;2012-02-28;;non;1
Toulouse Métropole;24310051800170;;;SDS LES CASTALIDES JUDICIAIRE;;Subvention d'équipement;85000.0;aide en numéraire;unique;2012-12-11;;non;1
Toulouse Métropole;24310051800170;;;CENT POUR CENT PUR SPORT ASSOC;44840068900023;Subvention de Fonctionnement;2000.0;aide en numéraire;unique;2012-08-03;;non;1
Toulouse Métropole;24310051800170;;;DES CHALETS HLM SA;66080284400028;Subvention d'équipement;2284157.0;aide en numéraire;échelonné;2012-12-07;;non;1
Toulouse Métropole;24310051800170;;;BGE SUD OUEST ASSOC;31596310800206;Subvention de Fonctionnement;13000.0;aide en numéraire;unique;2012-09-20;;non;1
Toulouse Métropole;24310051800170;;;COORACE OCCITANIE;40173631900047;Subvention de Fonctionnement;9000.0;aide en numéraire;unique;2012-07-23;;non;1
Toulouse Métropole;24310051800170;;;DELL ARTE ASSOC;41375052200042;Subvention de Fonctionnement;20000.0;aide en numéraire;unique;2012-06-15;;non;1
Toulouse Métropole;24310051800170;;;BOIS ET COMPAGNIE;48861282100022;Subvention de Fonctionnement;8000.0;aide en numéraire;unique;2012-10-10;;non;1
Toulouse Métropole;24310051800170;;;DICVIE ASSOC;51488065700010;Subvention de Fonctionnement;5000.0;aide en numéraire;unique;2012-06-12;;non;1
Toulouse Métropole;24310051800170;;;ADOMA SA;78805803001675;Subvention d'équipement;771043.0;aide en numéraire;échelonné;2012-12-06;;non;1
Toulouse Métropole;24310051800170;;;API SARL;40144091200020;Subvention d'équipement;794.44;aide en numéraire;unique;2012-11-29;;non;1
Toulouse Métropole;24310051800170;;;CCI TERRASSA;;Subvention de Fonctionnement;16322.44;aide en numéraire;échelonné;2012-10-10;;non;1
Toulouse Métropole;24310051800170;;;UNION REGIONALE CFTC MIDI PYRENEES;38359620200028;Subvention de Fonctionnement;381.4;aide en numéraire;unique;2012-09-06;;non;1
Toulouse Métropole;24310051800170;;;SYNDICAT FORCE OUVRIERE TM;;Subvention de Fonctionnement;2341.0;aide en numéraire;unique;2012-09-06;;non;1
Toulouse Métropole;24310051800170;;;ACADEMIE AIR ET ESPACE ASSOC;34828655000010;Subvention de Fonctionnement;10000.0;aide en numéraire;unique;2012-09-27;;non;1
Toulouse Métropole;24310051800170;;;CENTRE INFORMATION SUR DROITS FEMMES ET FAMILLES HAUTE GARONNE;31349910500010;Subvention de Fonctionnement;3080.0;aide en numéraire;unique;2012-09-07;;non;1
Toulouse Métropole;24310051800170;;;ADIE DROIT A L INITIATIVE ECONOMIQUE ASSOC;35221687301565;Subvention de Fonctionnement;30000.0;aide en numéraire;échelonné;2012-09-27;;non;1
Toulouse Métropole;24310051800170;;;CCIT CHAMBRE COMMERCE INDUSTRIE DE TOULOUSE;18310002300013;Subvention de Fonctionnement;83100.0;aide en numéraire;échelonné;2012-12-26;;non;1
Toulouse Métropole;24310051800170;;;CLASSISCO POUR LA MUSIQUE A L ECOLE ASSOC;44324608700029;Subvention de Fonctionnement;15000.0;aide en numéraire;unique;2012-06-26;;non;1
Toulouse Métropole;24310051800170;;;CARREFOURS POUR L EMPLOI;43294548300035;Subvention de Fonctionnement;90000.0;aide en numéraire;échelonné;2012-09-21;;non;1
Toulouse Métropole;24310051800170;;;CENTRE FORMATION DEPARTEMENTAL;13000835200747;Subvention d'équipement;63356.0;aide en numéraire;échelonné;2012-02-22;;non;1
Toulouse Métropole;24310051800170;;;COMPAGNIE DES MOBILITES SARL;52156374200035;Subvention de Fonctionnement;20000.0;aide en numéraire;unique;2012-12-18;;non;1
Toulouse Métropole;24310051800170;;;COMMUNE DE TOURNEFEUILLE;21310557000013;Subvention de Fonctionnement;18000.0;aide en numéraire;unique;2012-09-05;;non;1
Toulouse Métropole;24310051800170;;;COMMUNE DE TOULOUSE;21310555400017;Subvention de Fonctionnement;105000.0;aide en numéraire;échelonné;2012-11-19;;non;1
Toulouse Métropole;24310051800170;;;ANDORRA DESENVOLUPAMENT I INVERSIO;;Subvention de Fonctionnement;4000.0;aide en numéraire;unique;2012-12-19;;non;1
Toulouse Métropole;24310051800170;;;REGIONALE DES CHANTIERS IMPORTANTS DE MIDI PYRENEES ASSOC;38487386500016;Subvention de Fonctionnement;20000.0;aide en numéraire;échelonné;2012-04-25;;non;1
Toulouse Métropole;24310051800170;;;RFTM RECETTE DES FINANCES TOULOUSE MUNICIPALE;13000835201018;Subvention de Fonctionnement;-86750.17;aide en numéraire;échelonné;2012-12-31;;non;1
Toulouse Métropole;24310051800170;;;SUAPS SERVICE UNIV ACTIVITES PHYSIQUES SPORTIVES;19311383400371;Subvention de Fonctionnement;5000.0;aide en numéraire;unique;2012-05-09;;non;1
Toulouse Métropole;24310051800170;;;POINT RENCONTRE CHOMEURS ET PRECAIRE ASSOC;40299109500025;Subvention de Fonctionnement;8000.0;aide en numéraire;unique;2012-07-26;;non;1
Toulouse Métropole;24310051800170;;;SEE ELECTRICIEN ELECTRONICIEN ASSOC;78539323200042;Subvention de Fonctionnement;11000.0;aide en numéraire;unique;2012-11-30;;non;1
Toulouse Métropole;24310051800170;;;OFFICE DU TOURISME DE TOULOUSE;45096085100019;Subvention de Fonctionnement;130000.0;aide en numéraire;unique;2012-12-17;;non;1
Toulouse Métropole;24310051800170;;;ONCOPOLE DE TOULOUSE ASSOC;48988377700042;Subvention de Fonctionnement;60000.0;aide en numéraire;échelonné;2012-10-10;;non;1
Toulouse Métropole;24310051800170;;;SOLAGRO ASSOC;32451090800050;Subvention de Fonctionnement;97500.0;aide en numéraire;échelonné;2012-12-12;;non;1
Toulouse Métropole;24310051800170;;;SYNDICAT INTERCO CFDT MAIRIE TOULOUSE METROPOLE;;Subvention de Fonctionnement;653.2;aide en numéraire;unique;2012-10-02;;non;1
Toulouse Métropole;24310051800170;;;ORGANISATION BUS CYCLISTES;;Subvention de Fonctionnement;2000.0;aide en numéraire;unique;2012-07-12;;non;1
Toulouse Métropole;24310051800170;;;GNSS USAGE INNOVATION AND DEVELOPPEMENTOF EXCELLENCE ASSOC;52435124400016;Subvention d'équipement;150000.0;aide en numéraire;unique;2012-06-27;;non;1
Toulouse Métropole;24310051800170;;;GRAPHITI CIRDD MIDI PYRENEES ASSOC;38918848300033;Subvention de Fonctionnement;13000.0;aide en numéraire;unique;2012-06-12;;non;1
Toulouse Métropole;24310051800170;;;MIDI PYRENEES ACTIVE ASSOC;47960447200049;Subvention de Fonctionnement;75800.0;aide en numéraire;échelonné;2012-12-17;;non;1
Toulouse Métropole;24310051800170;;;LA MAISON DU VELO ASSOC;48742094500023;Subvention de Fonctionnement;270000.0;aide en numéraire;échelonné;2012-10-23;;non;1
Toulouse Métropole;24310051800170;;;LIGUE DE L ENSEIGNEMENT 31;77695091700034;Subvention d'équipement;698000.0;aide en numéraire;unique;2012-06-11;;non;1
Toulouse Métropole;24310051800170;;;MIDI PYRENEES EXPANSION;34172415100046;Subvention de Fonctionnement;30000.0;aide en numéraire;unique;2012-12-19;;non;1
Toulouse Métropole;24310051800170;;;COOP ACTION SARL;44238180200028;Subvention de Fonctionnement;12000.0;aide en numéraire;unique;2012-09-27;;non;1
