Nom des bénéficiaires;Montant fonds de concours ou subvention Année 2012;Année
Classico Pour la Musique à l'Ecole;15000.0;2012
Communauté d'Agglomération SICOVAL Labège Innopôle;18783.34;2012
Commune de Fonbeauzard;6000.0;2012
Commune de Toulouse;1000000.0;2012
Compagnie Nelson Dumont;40000.0;2012
Compétence Plus;22000.0;2012
COOP Action;12000.0;2012
DGFIP Site Occitane;10336.14;2012
FREDEC Midi Pyrénées;4000.0;2012
ICF Atlantique SA D HLM;117200.0;2012
IMO Lleida;32760.45;2012
ISSAT;8000.0;2012
Jeni;10000.0;2012
La Grainerie;159500.0;2012
Les Petits Débrouillards Midi Pyrénées;12000.0;2012
Ligue de l'enseignement 31;698000.0;2012
Maison Emploi Toulouse;5000.0;2012
Numericable;31374.42;2012
Observer Immobilier Toulousain;21000.0;2012
Orchestre de Chambre de Toulouse;50000.0;2012
Prefig Confluence Garonne Ariège;22661.64;2012
PRES Université de Toulouse;3000000.0;2012
Prévention Routière;2000.0;2012
Recherche Innovation Therapeutique Cancéropôle;5000.0;2012
SEM ECCEL Cité de l'espace;60000.0;2012
Syndicat Copropriétés Les Pervenches;18483.06;2012
Syndicat SUD CUGT;1120.0;2012
UREI;9000.0;2012
Via Brachy;24000.0;2012
Vidéophage;6000.0;2012
