Bénéficiaire;Nature subventions;Montant 2014 
CCIT CHAMBRE COMMERCE INDUSTRIE DE TOULOUSE;Fonctionnement;1379.9
SEMIDIAS;Fonctionnement;66920.47
RESEAU ENTREPRENDRE MIDI-PYRENNES;Fonctionnement;2400.0
INRA INSTITUT NATIONALE RECHERCHE AGRONOMIQUE;Fonctionnement;4000.0
ADEPES;Fonctionnement;24000.0
CPCA MIDI PYRENEES;Fonctionnement;120000.0
MOUVES - MOUVEMENT DES ENTREPRENEURS SOCIAUX;Fonctionnement;24000.0
PLANETE SCIENCES MIDI PYRENEES;Fonctionnement;4000.0
DEVELOPPEMENT TOURISME REGIONAL SEM SO TOULOUSE;Fonctionnement;50000.0
MOUVEMENT FRANCAIS PLANNING FAMILIAL 31;Fonctionnement;13000.0
PROTECTION ENFANCE ET ADOLESCENCE;Fonctionnement;8160.0
ARPADE;Fonctionnement;129510.0
POINT RENCONTRE CHOMEURS ET PREC;Fonctionnement;8000.0
CIDF CEDIFF CENTRE INFO DROITS DES FEMMES ET DES FAMILLES;Fonctionnement;3640.0
EGALITERE;Fonctionnement;1927.34
INSTITUT AERO FORMATIONS;Fonctionnement;4328.57
MACHENAUD Dominique;Fonctionnement;8759.32
ATOUT BOUT CHAMP;Fonctionnement;3000.0
ERABLES 31;Fonctionnement;3000.0
FREDEC MIDI PYRENEES;Fonctionnement;4000.0
SCIENCES ANIMATION MIDI-PYRENEES;Fonctionnement;6000.0
AVANTI POPOLO;Fonctionnement;3600.0
OBSERVATOIRE REG DE L AIR MIDI PYRENEES;Fonctionnement;166755.0
COMMUNE DE COLOMIERS;Fonctionnement;3000.0
COMMUNE DE TOURNEFEUILLE;Fonctionnement;7400.0
LA GRAINERIE;Fonctionnement;227790.0
BE BLIBOP;Fonctionnement;12000.0
LA GRAINERIE;Fonctionnement;30000.0
OCT ORCHESTRE CHAMBRE TOULOUSE;Fonctionnement;50000.0
THEATRE ET ORCHESTRE DU CAPITOLE;Fonctionnement;8000000.0
SYNDICAT INTERCOMMUNAL BOUCONNE;Fonctionnement;209000.0
SYNDICAT CFDT INTERCO 31;Fonctionnement;953.2
;;
CEA DE GRENOBLE DRT VALO CELISE;Equipement;150000.0
SEM OPPIDEA;Equipement;855015.7
RESEAU FERRE DE France;Equipement;33162.5
France TELECOM;Equipement;207752.52
PRES UNIVERSITE DE TOULOUSE;Equipement;66500.0
CREER BOUTIQUE DE GESTION BGE;Fonctionnement;13000.0
UIMM MIDI-PYRENEES;Fonctionnement;5000.0
CCI TERRASSA;Fonctionnement;66150.57
BIOMEDICAL ALLIANCE;Fonctionnement;10000.0
ADN MP DIGITAL PLACE;Fonctionnement;20000.0
CRESS;Fonctionnement;24000.0
CPCA MIDI PYRENEES;Fonctionnement;60000.0
INCUBATEUR MIDI-PYRENEES;Fonctionnement;54000.0
AAAF GROUPE REGIONAL DE TLSE;Fonctionnement;4000.0
CLUB GALAXIE;Fonctionnement;2000.0
GRAPHITI;Fonctionnement;13500.0
MISSION LOCALE TOULOUSE SIEGE;Fonctionnement;29000.0
AVENIR NOUVELLE MAISON DES CHOMEURS;Fonctionnement;10000.0
FFPE FED  FEMMES POUR L EUROPE;Fonctionnement;8000.0
FNARS MIDI PYRENEES;Fonctionnement;9000.0
UNIS CITE;Fonctionnement;20100.0
CERME;Fonctionnement;16080.0
CEPIERE FORMATION;Fonctionnement;15767.83
CIDF CEDIFF CENTRE INFO DROITS DES FEMMES ET DES FAMILLES;Fonctionnement;12951.87
HOLEO DEVELOPPEMENT;Fonctionnement;7224.0
REFLET 31;Fonctionnement;9047.94
2 BOUTS;Fonctionnement;5000.0
NATURE MIDI PYRENEES;Fonctionnement;4473.0
PARTAGEONS LES JARDINS;Fonctionnement;7500.0
MIPY GREEN;Fonctionnement;14200.0
RESEAU SEMENCES PAYSANNES;Fonctionnement;10250.0
ACOUCITE;Fonctionnement;25000.0
AUAT;Fonctionnement;2413111.0
AIMP ASSOC INGENIERIE MIDI PYRENEES;Fonctionnement;1000.0
CLASSISCO;Fonctionnement;15000.0
COMPAGNIE LA BARAQUE;Fonctionnement;15000.0
FESTIVAL DU LIVRE DE JEUNESSE MP;Fonctionnement;6000.0
ASSOCIATION VERUNI;Fonctionnement;15000.0
CIRQUE DE FEMMES EN TOUT GENRE;Fonctionnement;14000.0
LA MENAGERIE;Fonctionnement;12500.0
SYNDICAT CFTC PERSONNEL GT;Fonctionnement;381.4
SYNDICAT FORCE OUVRIERE PERSONNE;Fonctionnement;2341.0
SELEXEL;Equipement;30000.0
DEPARTEMENT DE LA HAUTE GARONNE;Equipement;1058374.93
PRES UNIVERSITE DE TOULOUSE;Equipement;3625000.0
Divers bénéficiaires;Equipement;15302265.43
Divers bénéficiaires;Equipement;187422.19
NUMERICABLE;Equipement;60186.38
COMMUNE DE BLAGNAC;Equipement;2526696.0
CCIT CHAMBRE COMMERCE INDUSTRIE DE TOULOUSE;Fonctionnement;78100.0
MIDI PYRENEES ACTIVE;Fonctionnement;43500.0
ASSOCIATION MIDI PYRENEES ACTIVES;Fonctionnement;8700.0
IMO LLEIDA;Fonctionnement;92271.58
